instruction,context,response,category
Why did the Prix Lupin not take place from 1915 to 1918?,"The event was established in 1855, and it was originally called the Prix de l'Empereur. It was initially held at the Champ de Mars, and was transferred to Longchamp in 1857. It was cancelled due to the Franco-Prussian War in 1871, and was renamed the Grande Poule des Produits in 1872.

The race was one of several trials for the Prix du Jockey Club collectively known as the Poules des Produits. The others (listed by their modern titles) were the Prix Daru, the Prix Hocquart, the Prix Noailles and the Prix Greffulhe. Unlike those races, the Grande Poule des Produits had no restrictions based on the nationality of a horse's sire or dam.

The event was renamed in memory of Auguste Lupin (1807–1895), a successful owner-breeder, in 1896.

The Prix Lupin was abandoned throughout World War I, with no running from 1915 to 1918. It was cancelled once during World War II, in 1940. It was run at Le Tremblay over 2,150 metres in 1943, and at Maisons-Laffitte in 1944.

The present system of race grading was introduced in 1971, and the Prix Lupin was classed at Group 1 level.

The race was last run in 2004. It was discontinued after France Galop restructured its Group 1 programme for three-year-olds in 2005.",Due to the first World War,closed_qa
"How many vaccines should I get, if a dog bites me?",,"There is no common number that applies to all, so you should immediately seek medical assistance. And then, based on the severity of the bite, your health provider can recommend the number of vaccines, along with any other treatment.",open_qa
Why is sitting the new smoking?,,"Sitting is not good for your body, as it was created to move. Sedentary lifestyles have many health risk factors associated. It can decrease your bone density to live a sedentary lifestyle, leading to more injuries. Sitting all day will also overtime impact your flexibility and ability to be limber. This too, impacts your likelihood of becoming injured.",creative_writing
"Who is the primary female antagonist on ""The X-Files""?",,Special Agent Dana Katherine Scully,open_qa
What is an amendment?,,a change or addition to the Constitution,open_qa
"Classify each of the following as creative or analytical: painting, math, physics, chemistry, drawing, filming",,"Painting: Creative
Math: Analytical
Physics: Analytical
Chemistry: Analytical
Drawing: Creative
Filming: Creative",classification
Who was the first actor to play the Joker on the Batman television series?,"César Julio Romero Jr. (February 15, 1907 – January 1, 1994) was an American actor and activist. He was active in film, radio, and television for almost sixty years.

His wide range of screen roles included Latin lovers, historical figures in costume dramas, characters in light domestic comedies, and the Joker on the Batman television series, which was included in TV Guide's 2013 list of The 60 Nastiest Villains of All Time. He was the first actor to play the character.",César Julio Romero Jr. played was the first actor to play the Joker.,information_extraction
"Fissures, vents, and plugs are all associated with which geological feature?",,Volcanos.,open_qa
List five titles by Suzanne Collins.,,"Catching Fire, Mockingjay, Gregor the Overlander, Year of the Jungle, The Ballad of Songbirds and Snakes",open_qa
"Which of the following two-dimensional shapes are made using only curved lines? And which use only straight lines? oval, rectangle, square, pentagon, circle and rhombus.",,"The oval and circle are made using only curved lines.
The square, pentagon, rectangle and rhombus are made using only straight lines.",classification
Why is it important to lift weights?,,"Lifting weights is important for many reasons. Lifting weights can impact a body's physical appearance and strength, has anti-aging benefits, helps prevent osteoporosis, improves joint health, and improves cardiovascular health. Additionally, there are many popular competitions centered around strength and conditioning which has indirectly promoted various strength sports throughout the world.",general_qa
"Which of these foods are from North and South of India: Chicken Tikka, Chole Samosa, Chole Batura, Idli Sambar, Dosa, Upama, Tamarind Rice",,"Chicken Tikka, Chole Samosa, Chole Batura are North Indian Foods. Idli Sambar, Dosa, Upama, Tamarind Rice are from South of India.",classification
"Select the odd word from this list and explain why you chose it.
Larch
Elm
Oak
Yew
Rhododendron",,"Rhododendron is the odd word from this list. Larch, Elm, Oak and Yew are all examples of trees, whereas the Rhododendron is a flower.",classification
What are the basic rules of baseball?,,"Baseball is a complex sport that can be confusing to newcomers. Baseball is a game played by two teams of 9 players on a large field with 4 bases. The team on defense has 9 players out in the field at once, which includes the pitcher and the catcher. The hitting team only has one player ""at-bat."" The pitcher throws the ball to the catcher, and the hitter attempts to hit the ball into the field and run to a base if they hit the ball into fair territory. If the player misses 3 times, they are out. If the pitcher throws a bad pitch 4 times, the hitter gets to go to first base automatically. The player can also get out if a fielder catches the ball in the air or tags first base before the runner gets there. The game itself is 9 innings of 3 outs for each team. Whoever has the most runs (when a player runs to all 4 bases) at the end of the game wins!",open_qa
"Name three dishes that were developed from conditions of scarcity or having to ""make do” with available materials or ingredients.",,"1. Bouillabaisse - a French seafood stew, originated with making do with whatever catch a fisherman couldn’t sell.  
2. Congee - an Asian dish which involves a small amount of rice being cooked in water to a large volume of rice porridge; the idea is to stretch rice and feed more people with less food; often served at times of famine in the old days.
3. Budae Jjigae - a Korean stew also known as Army Stew; it  came about after Korean when resourceful Koreans were starving and salvaged the American leftover canned food (e.g. spam, beans, hotdogs, etc.) to make stew with kimchi and instant noodles.",brainstorming
How many and which states were US Colonies?,"The Thirteen Colonies, also known as the Thirteen British Colonies, the Thirteen American Colonies, were a group of British colonies on the Atlantic coast of North America. Founded in the 17th and 18th centuries, the American Enlightenment led these colonies to revolution, and declaring full independence in July 1776. With victory over Britain in the American Revolutionary War the former colonies were confirmed as the new United States of America. Just prior to declaring independence, the Thirteen Colonies in their traditional groupings were: New England (New Hampshire; Massachusetts; Rhode Island; Connecticut); Middle (New York; New Jersey; Pennsylvania; Delaware); Southern (Maryland; Virginia; North Carolina; South Carolina; and Georgia). The Thirteen Colonies came to have very similar political, constitutional, and legal systems, dominated by Protestant English-speakers. The first of these colonies was Virginia Colony in 1607, a Southern colony. While all these colonies needed to become economically viable, the founding of the New England colonies, as well as the colonies of Maryland and Pennsylvania, were substantially motivated by their founders' concerns related to the practice of religion. The other colonies were founded for business and economic expansion. The Middle Colonies were established on an earlier Dutch colony, New Netherland. All the Thirteen Colonies were part of Britain's possessions in the New World, which also included territory in Canada, Florida, and the Caribbean.","There were 13 British Colonies that became States in the United States of America in 1776:  Connecticut, Delaware, Georgia, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, and Virginia.",closed_qa
"Given a reference text about the Battle of Thermopylae, tell me when the battle was fought, who the battle was between, how many Greek and Persian forces there were, how the Persian army was able to flank the Greek forces and who won the battle?","The Battle of Thermopylae (/θərˈmɒpɪliː/ thər-MOP-i-lee; Greek: Μάχη τῶν Θερμοπυλῶν, Máchē tōn Thermopylōn) was fought in 480 BC between the Achaemenid Persian Empire under Xerxes I and an alliance of Greek city-states led by Sparta under Leonidas I. Lasting over the course of three days, it was one of the most prominent battles of both the second Persian invasion of Greece and the wider Greco-Persian Wars.

The engagement at Thermopylae occurred simultaneously with the Battle of Artemisium: between July and September 480 BC. The second Persian invasion under Xerxes I was a delayed response to the failure of the first Persian invasion, which had been initiated by Darius I and ended in 490 BC by an Athenian-led Greek victory at the Battle of Marathon. By 480 BC, a decade after the Persian defeat at Marathon, Xerxes had amassed a massive land and naval force, and subsequently set out to conquer all of Greece. In response, the Athenian politician and general Themistocles proposed that the allied Greeks block the advance of the Persian army at the pass of Thermopylae while simultaneously blocking the Persian navy at the Straits of Artemisium.

Around the start of the invasion, a Greek force of approximately 7,000 men led by Leonidas marched north to block the pass of Thermopylae. Ancient authors vastly inflated the size of the Persian army, with estimates in the millions, but modern scholars estimate it at between 120,000 and 300,000 soldiers. They arrived at Thermopylae by late August or early September; the outnumbered Greeks held them off for seven days (including three of direct battle) before their rear-guard was annihilated in one of history's most famous last stands. During two full days of battle, the Greeks blocked the only road by which the massive Persian army could traverse the narrow pass. After the second day, a local resident named Ephialtes revealed to the Persians the existence of a path leading behind the Greek lines. Subsequently, Leonidas, aware that his force was being outflanked by the Persians, dismissed the bulk of the Greek army and remained to guard their retreat along with 300 Spartans and 700 Thespians. It has been reported that others also remained, including up to 900 helots and 400 Thebans. With the exception of the Thebans, most of whom reportedly surrendered, the Greeks fought the Persians to the death.

Themistocles was in command of the Greek naval force at Artemisium when he received news that the Persians had taken the pass at Thermopylae. Since the Greek defensive strategy had required both Thermopylae and Artemisium to be held, the decision was made to withdraw to the island of Salamis. The Persians overran Boeotia and then captured the evacuated city of Athens. The Greek fleet—seeking a decisive victory over the Persian armada—attacked and defeated the invading force at the Battle of Salamis in late 480 BC. Wary of being trapped in Europe, Xerxes withdrew with much of his army to Asia, reportedly losing many of his troops to starvation and disease while also leaving behind the Persian military commander Mardonius to continue the Achaemenid Empire's Greek campaign. However, the following year saw a Greek army decisively defeat Mardonius and his troops at the Battle of Plataea, ending the second Persian invasion.

Both ancient and modern writers have used the Battle of Thermopylae as a flagship example of the power of an army defending its native soil. The performance of the Greek defenders is also used as an example of the advantages of training, equipment, and use of terrain as force multipliers.","The Battle of Thermopylae was fought in 480 BC. The battle was fought between the Persian Empire, led by Xerxes I, and a combination of allied Greek city-states led by Leonidas I of Sparta. There were approximately 7,000 Greek men led by Leonidas I and an estimated 120,000 - 300,000 Persian soldiers led by Xerxes I. The Persian army was able to outflank the Greek army because a local person named Ephialtes informed the Persians that there was an unguarded path that lead behind the Greek lines. The Greek army made one final stand but ultimately were unsuccessful and were over taken by the Persian army.",closed_qa
Which is a species of fish? Lion or Lionfish,,Lionfish,classification
Please give me a short bulleted list of the top achievements John Wooden had as a coach for the UCLA men's basketball team.,"In the 1948–1949 season, Wooden was hired by the University of California, Los Angeles, to be the fourth basketball coach in the school's history. He succeeded Fred Cozens, Caddy Works, and Wilbur Johns; Johns became the school's athletic director. Wooden signed a three-year contract for $6,000 in the first year. Prior to being hired at UCLA, he had been pursued for the head coaching position at the University of Minnesota, and it was his and his wife's desire to remain in the Midwest, but inclement weather in Minnesota prevented Wooden from receiving the scheduled phone offer from the Golden Gophers. Thinking that they had lost interest, Wooden instead accepted the head coaching job with the Bruins. Officials from the University of Minnesota contacted Wooden immediately after he accepted the position at UCLA, but he declined their offer because he had already given his word to UCLA.

Wooden had immediate success, fashioning the mark of the rarest of coaches, an ""instant turnaround"" for an undistinguished, faltering program. Part of this success was due to his unique offensive system, the same system that countless coaches use today. John Wooden stated, ""I believe my system is perfectly suited to counter all the modern defenses I have seen, and that includes run-and-jump, 1–3–1 trapping, box-and-one, triangle-and-two, and switching man-to-man.""

Prior to Wooden's arrival at UCLA, the basketball program had only had two conference championship seasons in the previous 18 years. In his first season, he took a Bruins team that had posted a 12–13 record the previous year and transformed it into a Pacific Coast Conference (PCC) Southern Division champion with a 22–7 record, the most wins in a season for UCLA since the school started playing basketball in 1919. He surpassed that number the next season with 24–7 and a second division title and overall conference title in 1950, and would add two more in his first four years. Up to that time, UCLA had collected a total of two division titles since the PCC began divisional play, and had not won a conference title of any sort since winning the Southern California Intercollegiate Athletic Conference in 1927.


Wooden in 1960
In spite of these achievements, Wooden reportedly did not initially enjoy his position, and his wife did not favor living in Los Angeles. When Mel Taube left Purdue in 1950, Wooden's inclination was to return to West Lafayette and finally accept the head coaching job there. He was ultimately dissuaded when UCLA officials reminded him that it was he who had insisted upon a three-year commitment during negotiations in 1948. Wooden felt that leaving UCLA prior to the expiration of his contract would be tantamount to breaking his word, even though Purdue offered more money, a car and housing.

By the 1955–56 season, Wooden had established a record of sustained success at UCLA. That year, he guided the team to its first undefeated PCC conference title and a 17-game winning streak that came to an end only at the hands of Phil Woolpert's University of San Francisco team (who had Bill Russell and K.C. Jones) that eventually won the 1956 NCAA tournament. However, UCLA was unable to advance from this level over the immediately ensuing seasons, finding itself unable to return to the NCAA Tournament, as the Pete Newell-coached teams of the California Golden Bears took control of the conference and won the 1959 NCAA tournament. Also hampering the fortunes of Wooden's team during that time period was a probation that was imposed on all UCLA sports teams in the aftermath of a scandal that involved illegal payments made to players on the school's football team. The probation was also extended to three additional schools: the University of Southern California, California and Stanford. The scandal resulted in the dismantling of the PCC conference.

By the 1961–1962 season, the probation was no longer in place and Wooden returned his team to the top of the conference. This time, however, they would take the next step, and in so doing, unleash a run of dominance unparalleled in the history of college basketball. UCLA reached the Final Four of the NCAA tournament for the first time in school history. A narrow loss, due largely to a controversial foul call in a 1962 semi-final game against Ed Jucker's eventual national champion Cincinnati team, convinced Wooden that his Bruins were ready to contend for national championships. Two seasons later in 1964, the final piece of the puzzle fell into place when assistant coach Jerry Norman persuaded Wooden that the team's small-sized players and fast-paced offense would be complemented by the adoption of a zone press defense, which increased the probability of turnovers by the opposing team. The result was a dramatic increase in scoring, giving UCLA a powerhouse team that went 30–0 on its way to the school's first basketball national championship and first undefeated season as the Bruins beat Vic Bubas' taller and slower racially segregated Duke team 98–83 in the final. Walt Hazzard fouled out of the game late in the second half on a player control foul, but this was irrelevant when he cut down the net in celebration and was named tournament most valuable player. Gail Goodrich, Keith Erickson, Fred Slaughter, and Jack Hirsch contributed to the UCLA win. With no player taller than 6 feet, 5 inches, the Bruins' speed and zone press forced 29 turnovers and nullified the height advantage of Duke's Hack Tison and Jay Buckley, two 6-foot, 10-inch players.

In the 1964-1965 campaign, the defending NCAA champions got off to an ominous start when UCLA lost to Illinois by 27 points in its opening game. It was all uphill after that as the squad repeated as national champions with Gail Goodrich, Kenny Washington, and Doug McIntosh. The Bruins upended Dave Strack's Michigan team 91–80 in the finals of the NCAA tournament. Goodrich shared Player of the Year honors with Princeton's Bill Bradley. The 1966 squad was denied a chance at a triple crown when it finished second to Oregon State in the Athletic Association of Western Universities (now the Pac-12). UCLA was ineligible to play in the NCAA tournament that year because in those days only conference champions received a bid to the tournament. The Bruins' 1967 incarnation returned with a vengeance with sophomore star Alcindor, reclaiming not only the conference title, but the national crown with another 30–0 season, and then retaining it every season but one until Wooden's retirement immediately following the 1975 NCAA championship.

The resurgence of the Bruins under Wooden made it obvious that they needed a new home. Since 1932, the Bruins had played at the Men's Gym. It normally seated 2,400, but had been limited to 1,500 since 1955 by order of the city fire marshal. This forced the Bruins to move games to Pan Pacific Auditorium, the Los Angeles Memorial Sports Arena and other venues around Los Angeles when they were expected to attract larger crowds—something that happened fairly often after the Bruins' first national title. At Wooden's urging, a much larger on-campus facility, Pauley Pavilion, was built in time for the 1965–66 season. The building in Westwood was christened on November 27, 1965, in a special game that pitted the UCLA varsity against the UCLA freshmen. It was Lew Alcindor's (later Kareem Abdul-Jabbar) freshman season (freshmen were ineligible to play on the varsity in those days). UCLA was the defending national champion and ranked number 1 in the pre-season poll. The freshmen easily won the game by a score of 75–60. It was a powerful indication of things to come.

A rule change was instituted for the 1967–1968 season, primarily because of Alcindor's towering play near the basket. The dunk shot was outlawed and would not be reinstated until the 1976–1977 season, which was shortly after Wooden's retirement. This was at least the second time that the rules committee had initiated change in response to the domination of a superstar player; in 1944, the goaltending rule was instituted to counter George Mikan's dominant defensive play near the basket. In January, UCLA took its 47-game winning streak to the Astrodome in Houston, where the Bruins met Guy Lewis' Houston squad, who had Elvin Hayes and Ken Spain, in the Game of the Century in the nation's first nationally televised regular season college basketball game. Houston upset UCLA 71–69, as Hayes scored 39 points. In a post-game interview, Wooden said, ""We have to start over."" UCLA went undefeated the rest of the year and thrashed Houston 101–69 in the semi-final rematch of the NCAA tournament en route to the national championship. Sports Illustrated ran the front cover headline Lew's Revenge. The rout of Houston. UCLA limited Hayes to only 10 points; he had been averaging 37.7 points per game. Wooden credited Norman for devising the diamond-and-one defense that contained Hayes. The Game of the Century is also remembered for an incident involving Wooden and Edgar Lacy. Lacy was ineffective on defense against Elvin Hayes, and Wooden benched him after 11 minutes. Lacy never re-entered the game. Furious with Wooden, Lacy quit the team three days later, telling the Los Angeles Times ""I've never enjoyed playing for that man."" UCLA's talent during the 1968 NCAA tournament was so overwhelming that they placed four players on the All-Tournament team. In addition to Alcindor, Lucius Allen, Mike Warren, and ""Lefty"" Lynn Shackelford were given accolades. Kenny Heitz was also a member of UCLA's 1968 team.

Lew Alcindor finished his career at UCLA in 1969 with a third consecutive national championship when the Bruins beat George King's Purdue team 92–72 in the title game. The three straight titles were matched by three consecutive MVP awards in the tournament as Alcindor established himself as college basketball's superstar during the three-peat performance. Alcindor and Wooden would continue their communication even after he left UCLA. In 2017, Jabbar wrote a book, ""Coach Wooden and Me"", which details their long-standing friendship.

A sportswriter commented that everybody outside of UCLA would be happy that glorious day in June when Alcindor finally graduated and college basketball could go back to the routine method of determining a national champion. This prophecy would prove to be ludicrous over the next six years. The 1970 squad proved that nobody was indispensable to the success of the UCLA program, not even Alcindor, as Sidney Wicks, Henry Bibby, Curtis Rowe, John Vallely, and Kenny Booker carried the Bruins to their fourth consecutive NCAA title with an 80–69 win over upstart Jacksonville, coached by Joe Williams. Wicks and Rowe double teamed 7-foot Artis Gilmore on defense and shut down the high-powered Jacksonville offense, which had been averaging 100 points per game. Gilmore and 5'10"" Rex Morgan had been dubbed ""Batman and Robin"" by the press.

In the 1971 NCAA championship game, Steve Patterson outscored Howard Porter of Jack Kraft's scandal-plagued Villanova squad as UCLA won 68–62. The following year, UCLA had its closest game in all of Wooden's 10 championships, beating Hugh Durham's Florida State team 81–76 to take the 1972 title. After the game, Bill Walton said, ""We didn't play well.""


Wooden with Digger Phelps in 1973, after UCLA beat Notre Dame for their NCAA-record 61st straight win
The 1972–1973 season was one of the most memorable campaigns in the history of UCLA basketball. Freshmen became eligible to play varsity ball again, and the Bruins went 30–0 and stretched their winning streak to a record 75 straight in breezing through the NCAA tournament by blowing out Gene Bartow's Memphis State team 87–66 in the final, as Bill Walton hit an incredible 21 of 22 field goal attempts. Walton and Wooden were everybody's Player and Coach of the Year again. Keith Wilkes, Greg Lee, and Larry Hollyfield were members of that team, and Wilkes would go on to win four NBA championships as well.

UCLA's two big streaks came to an end during the 1973–1974 season. In January, the winning streak stopped at 88 games when Digger Phelps's Notre Dame squad upended the Bruins 71–70 in South Bend. Two months later, Norm Sloan's North Carolina State team defeated UCLA 80–77 in double overtime in the semifinals of the NCAA tournament. David Thompson was NC State's All-American, and Tom Burleson did an excellent job on defense against Bill Walton. UCLA had beaten the Wolfpack by 18 points early in the season, but things were different when they met in March.

Wooden coached what would prove to be his final game in Pauley Pavilion on March 1, 1975, a 93–59 victory over Stanford. Four weeks later, following a 75–74 overtime victory over former player and former assistant coach Denny Crum and Louisville in the 1975 NCAA Tournament semifinal game, Wooden announced that he would retire at age 64 immediately after the championship game. His legendary coaching career concluded triumphantly when Richard Washington and David Meyers combined for 52 points as UCLA responded with a 92–85 win over Joe B. Hall and Kentucky to claim Wooden's first career coaching victory over the Wildcats and his unprecedented 10th national championship. Marques Johnson and Andre McCarter were also key contributors on Wooden's final championship team. The success of Wooden's last team was particularly impressive because it had no marquee stars such as Alcindor, Walton, Hazzard, and Goodrich; the team was a group of rugged opportunists.

Andy Hill, who was on three Bruin teams under Wooden that won NCAA championships from 1970 to 1972, decades later co-wrote with Wooden the 2001 book Be Quick—But Don't Hurry! Finding Success in the Teachings of a Lifetime. The bestseller details how Hill applied his experience as a player under Wooden to achieve success in his career as a television executive. His goal was to demonstrate the relevance of Wooden's coaching style to the business world. The book also delves into his personal relationship with Wooden as his coach and mentor.

In 2004, a 93-year-old Wooden stated that he would not mind coming back as an assistant who could help players with practices and other light duties.

During his tenure with the Bruins, Wooden became known as the ""Wizard of Westwood"", though he personally disdained the nickname. He gained lasting fame with UCLA by winning 620 games in 27 seasons and 10 NCAA titles during his last 12 seasons, including seven in a row from 1967 to 1973. His UCLA teams also established an NCAA men's basketball record winning streak of 88 games and four perfect 30–0 seasons. They also won 38 straight games in NCAA tournaments and 98 straight home wins at Pauley Pavilion.

""He never made more than $35,000 a year salary (not including camps and speaking engagements), including 1975, the year he won his 10th national championship, and never asked for a raise"", wrote Rick Reilly of ESPN. He was given a Bruin powder blue Mercedes that season as a retirement gift. According to his own writings, Wooden turned down an offer to coach the Los Angeles Lakers from owner Jack Kent Cooke that may have been ten times what UCLA was paying him.","John Wooden had 620 wins with the Bruins, John Wooden led his team to 10 NCAA championships, His teams had four perfect winning seasons and had multiple record-setting winning streaks, John Wooden uplifted the program to be a league leader, He became known at the ""Wizard of Westwood""",summarization
What is a traditional IRA or 401k?,,"The two primary options for retirement savings include individual retirement accounts and a defined contribution plan such as a 401k. Individuals can choose to save on their own and open an IRA, however a IRA opened by an individual won't carry the benefit of employer matching. Typically individuals contribute a percentage of their salary to their 401k, and many employers may offer matching contributions to that 401k up to a specified dollar amount.",general_qa
Where is Pleasanton?,"Pleasanton is a city in Alameda County, California, United States. Located in the Amador Valley, it is a suburb in the East Bay region of the San Francisco Bay Area. The population was 79,871 at the 2020 census. In 2005 and 2007, Pleasanton was ranked the wealthiest middle-sized city in the United States by the Census Bureau. Pleasanton is home to the headquarters of Safeway, Workday, Ellie Mae, Roche Molecular Diagnostics, Blackhawk Network Holdings, and Veeva Systems. Other major employers include Kaiser Permanente, Oracle and Macy's. Although Oakland is the Alameda County seat, a few county offices are located in Pleasanton. The Alameda County Fairgrounds are located in Pleasanton, where the county fair is held during the last week of June and the first week of July. Pleasanton Ridge Regional Park is located on the west side of town.","Pleasanton is city in California, United States. It is located about 30-45 miles east of San Francisco. It is known for being Headquarter for multiple tech companies like veeva, workday and safeway.",summarization
From the passage identify the usage of Limestone. Display the results in a numbered list format.,"Limestone (calcium carbonate CaCO3) is a type of carbonate sedimentary rock which is the main source of the material lime. It is composed mostly of the minerals calcite and aragonite, which are different crystal forms of CaCO3. Limestone forms when these minerals precipitate out of water containing dissolved calcium. This can take place through both biological and nonbiological processes, though biological processes, such as the accumulation of corals and shells in the sea, have likely been more important for the last 540 million years. Limestone often contains fossils which provide scientists with information on ancient environments and on the evolution of life.About 20% to 25% of sedimentary rock is carbonate rock, and most of this is limestone. The remaining carbonate rock is mostly dolomite, a closely related rock, which contains a high percentage of the mineral dolomite, CaMg(CO3)2. Magnesian limestone is an obsolete and poorly-defined term used variously for dolomite, for limestone containing significant dolomite (dolomitic limestone), or for any other limestone containing a significant percentage of magnesium. Most limestone was formed in shallow marine environments, such as continental shelves or platforms, though smaller amounts were formed in many other environments. Much dolomite is secondary dolomite, formed by chemical alteration of limestone. Limestone is exposed over large regions of the Earth's surface, and because limestone is slightly soluble in rainwater, these exposures often are eroded to become karst landscapes. Most cave systems are found in limestone bedrock.Limestone has numerous uses: as a chemical feedstock for the production of lime used for cement (an essential component of concrete), as aggregate for the base of roads, as white pigment or filler in products such as toothpaste or paints, as a soil conditioner, and as a popular decorative addition to rock gardens. Limestone formations contain about 30% of the world's petroleum reservoirs.","1. as a chemical feedstock for the production of lime used for cement (an essential component of concrete)
2. as aggregate for the base of roads
3. as white pigment or filler in products such as toothpaste or paints
4. as a soil conditioner
5. as a popular decorative addition to rock gardens",information_extraction
"Based on the reference text, provide a bulleted list summarizing Newton's three laws of motion","First
Translated from the Latin, Newton's first law reads,

Every body continues in its state of rest, or of uniform motion in a straight line, unless it is compelled to change that state by forces impressed upon it.: 114 
Newton's first law expresses the principle of inertia: the natural behavior of a body is to move in a straight line at constant speed. In the absence of outside influences, a body's motion preserves the status quo.

The modern understanding of Newton's first law is that no inertial observer is privileged over any other. The concept of an inertial observer makes quantitative the everyday idea of feeling no effects of motion. For example, a person standing on the ground watching a train go past is an inertial observer. If the observer on the ground sees the train moving smoothly in a straight line at a constant speed, then a passenger sitting on the train will also be an inertial observer: the train passenger feels no motion. The principle expressed by Newton's first law is that there is no way to say which inertial observer is ""really"" moving and which is ""really"" standing still. One observer's state of rest is another observer's state of uniform motion in a straight line, and no experiment can deem either point of view to be correct or incorrect. There is no absolute standard of rest.[note 4]

Second
The change of motion of an object is proportional to the force impressed; and is made in the direction of the straight line in which the force is impressed.: 114 
By ""motion"", Newton meant the quantity now called momentum, which depends upon the amount of matter contained in a body, the speed at which that body is moving, and the direction in which it is moving. In modern notation, the momentum of a body is the product of its mass and its velocity:

Newton's second law, in modern form, states that the time derivative of the momentum is the force:
If the mass m does not change with time, then the derivative acts only upon the velocity, and so the force equals the product of the mass and the time derivative of the velocity, which is the acceleration:
As the acceleration is the second derivative of position with respect to time, this can also be written.

The forces acting on a body add as vectors, and so the total force on a body depends upon both the magnitudes and the directions of the individual forces. When the net force on a body is equal to zero, then by Newton's second law, the body does not accelerate, and it is said to be in mechanical equilibrium. A state of mechanical equilibrium is stable if, when the position of the body is changed slightly, the body remains near that equilibrium. Otherwise, the equilibrium is unstable.

A common visual representation of forces acting in concert is the free body diagram, which schematically portrays a body of interest and the forces applied to it by outside influences. For example, a free body diagram of a block sitting upon an inclined plane can illustrate the combination of gravitational force, ""normal"" force, friction, and string tension.[note 5]

Newton's second law is sometimes presented as a definition of force, i.e., a force is that which exists when an inertial observer sees a body accelerating. In order for this to be more than a tautology — acceleration implies force, force implies acceleration — some other statement about force must also be made. For example, an equation detailing the force might be specified, like Newton's law of universal gravitation. By inserting such an expression for 
 into Newton's second law, an equation with predictive power can be written.[note 6] Newton's second law has also been regarded as setting out a research program for physics, establishing that important goals of the subject are to identify the forces present in nature and to catalogue the constituents of matter.[note 7]

Third
To every action, there is always opposed an equal reaction; or, the mutual actions of two bodies upon each other are always equal, and directed to contrary parts.: 116 

Overly brief paraphrases of the third law, like ""action equals reaction"" might have caused confusion among generations of students: the ""action"" and ""reaction"" apply to different bodies. For example, consider a book at rest on a table. The Earth's gravity pulls down upon the book. The ""reaction"" to that ""action"" is not the support force from the table holding up the book, but the gravitational pull of the book acting on the Earth.[note 8]

Newton's third law relates to a more fundamental principle, the conservation of momentum. The latter remains true even in cases where Newton's statement does not, for instance when force fields as well as material bodies carry momentum, and when momentum is defined properly, in quantum mechanics as well.[note 9]
By Newton's second law, the first term is the total force upon the first body, and the second term is the total force upon the second body. If the two bodies are isolated from outside influences, the only force upon the first body can be that from the second, and vice versa. By Newton's third law, these forces have equal magnitude but opposite direction, so they cancel when added, and 
→{\vec {p}} is constant. Alternatively, if 
→{\vec {p}} is known to be constant, it follows that the forces have equal magnitude and opposite direction.","The following is a summary of Newton's three laws of motion:
1. First Law: A body remains at rest, or in motion at constant speed, unless acted upon by a force.
2. Second Law: The change of motion of an object is proportional to the force impressed on the object.
3. Third Law: To every action, there is an equal and opposite reaction.",summarization
"According to this passage, what percent of the lithography machine market do Ultratech, Canon and Nikon, MKS Instruments, Lam Research and Cadence Design Systems have in aggregate?","ASML produces the photolithography machines used in the production of computer chips. In these machines, patterns are optically imaged onto a silicon wafer that is covered with a film of light-sensitive material (photoresist). This procedure is repeated dozens of times on a single wafer. The photoresist is then further processed to create the actual electronic circuits on the silicon. The optical imaging that ASML's machines deal with is used in the fabrication of nearly all integrated circuits and, as of 2011, ASML had 67 percent of the worldwide sales of lithography machines.

ASML's competition consisted of Ultratech, Canon and Nikon, MKS Instruments, Lam Research and Cadence Design Systems.[citation needed]","If ASML has 67 percent of the worldwide sales of lithography machines and if Ultratech, Canon and Nikon, MKS Instruments, Lam Research and Cadence Design Systems represent their sole competition, than these companies must share the remaining 33 percent of the market.",closed_qa
Why is Arsenal FC a great football club?,,"Arsenal is one of the greatest football clubs in the world for many reasons. First of all, it has one of the largest global fanbases from all continents on the globe. The fan base headcount is within the top 10 of all existing sports teams. It has been one of the most successful clubs in terms of winning silverware, with 13 league titles and 14 FA cups to its name. It has a rich history of having international players that go on to become some of the greatest players in football/soccer history. The club is also located in the heart of London, making it a popular team for people from all around the world to come and visit. It has one of the best stadiums in Europe, Emirates Stadium, that can seat 65,000+ attendants and has an incredible atmosphere on game day.",general_qa
"If there are only two genera remaining, what happened to the other 24?","According to the World Register of Marine Species, there are only two genera in this family. Previously there were about 26, but most of these have been reallocated as sub-genera of the remaining two genera, Mycale and Phlyctaenopora:",Most of the other 24 were reallocated as sub-genera of the remaining two genera.,closed_qa
In which years did the Women's Australian cricket team win the world cup,,"1978
1982
 1988
 1997
 2005
 2013
2022",brainstorming
"Given this paragraph about the sport of triathlon, what are the individual sports make up a triathlon","A triathlon is an endurance multisport race consisting of swimming, cycling, and running over various distances. Triathletes compete for fastest overall completion time, racing each segment sequentially with the time transitioning between the disciplines included","Triathlon is a multi-sport discipline consisting of three sports performed back to back without rest. An event is made up of swimming, followed by cycling and then running. Athletes transition between the individual sports as quickly as possible, with the winner completing the course in the fastest time.",closed_qa
